ID,model_ID,model,B_0,B_1,B_2,B_3,N_max,N_0,r_max,t_lag,AIC/AIC_c,BIC,R_2
17,2,quadratic,-1.7678720370929657,0.09842494487622787,-0.0004889816737906346,0.0,0.0,0.0,0.0,0.0,134.74762741159424,132.7365257209391,0.8079207385107797
17,3,cubic,-0.6976126501940955,0.028353737677294336,0.0008141156333382455,-7.1350799289962434e-06,0.0,0.0,0.0,0.0,138.99493942117346,131.98106230785453,0.8608515701214653
17,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5,gompertz,0.0,0.0,0.0,0.0,3.223461718244596,0.19540092597448408,0.1662087257626907,25.301623131245194,132.97363536654908,125.95975825323018,0.9286009313114443
17,6,baranyi,0.0,0.0,0.0,0.0,3.0961061611007388,0.01357269485205536,0.1604922159863073,22.72593607861828,128.66242716241146,121.64855004909256,0.9557691651018797
17,7,buchanan,0.0,0.0,0.0,0.0,3.046848569362456,-2.722243589877103,0.13591440745613373,-27.87308542671603,132.58177750902524,125.56790039570635,0.9317862442992477
18,1,linear,-0.5793290725446641,0.03519385646626768,0.0,0.0,0.0,0.0,0.0,0.0,105.7658218859593,105.6041465109988,0.6253340647745271
18,2,quadratic,-1.3794195996586267,0.06735241100225424,-0.00026259093245249927,0.0,0.0,0.0,0.0,0.0,87.14987158896892,83.46763775568826,0.9817991163714626
18,3,cubic,-0.3979155363602384,0.004830956098313178,0.000878935151492806,-6.163594183567828e-06,0.0,0.0,0.0,0.0,99.38601984830497,88.44989422337082,0.973843120849322
18,4,logistic,0.0,0.0,0.0,0.0,541.621691187985,0.09896509095698257,0.1068487803461807,0.0,87.94599701218442,84.26376317890376,0.9799067804004971
18,5,gompertz,0.0,0.0,0.0,0.0,2.7784654097989723,0.040637155781205594,0.1298522595892564,27.289307041039645,100.83996192081847,89.90383629588432,0.9686543240374874
18,6,baranyi,0.0,0.0,0.0,0.0,2.6448213238895857,-0.10998617571040017,0.12881905594498955,25.179099031083027,108.94504776643038,98.00892214149623,0.9138714599729592
18,7,buchanan,0.0,0.0,0.0,0.0,2.7275517720966,-0.536114325610283,0.09547330642035125,7.204216345222907,101.9072725026208,90.97114687768665,0.9641450683620258
19,1,linear,-0.45849729833854824,0.006583406664436868,0.0,0.0,0.0,0.0,0.0,0.0,139.30329950444175,139.89497323645043,-0.5311090730850474
19,2,quadratic,-0.5852175106563229,0.0077138689548526315,-1.8792825673582457e-06,0.0,0.0,0.0,0.0,0.0,143.8640316166193,141.85292992596416,-0.48842602170492655
19,3,cubic,0.423405279510796,-0.009395424581077335,6.862763904250147e-05,-7.976405924697411e-08,0.0,0.0,0.0,0.0,109.14355542792221,102.12967831460331,0.9841074067958115
19,4,logistic,0.0,0.0,0.0,0.0,1046.230521794742,0.21536800696142308,0.017756753287433157,0.0,136.54620590829782,134.5351042176427,0.2952400095253276
19,5,gompertz,0.0,0.0,0.0,0.0,2.953658495059808,0.17533565527814565,0.02744705837582705,169.8357784112063,136.20791140945948,129.1940342961406,0.6825661891161079
19,6,baranyi,0.0,0.0,0.0,0.0,26.03466566263055,-0.13477182769724333,0.01629216293611487,73.38928726605262,149.7310989362833,142.7172218229644,-0.3269681242193163
19,7,buchanan,0.0,0.0,0.0,0.0,2.8189781603650452,0.2218876566442062,0.02189412422771257,155.17715269196378,116.86690645499627,109.85302934167737,0.9625013658216156
20,1,linear,-0.4948265929500011,0.00623051520547805,0.0,0.0,0.0,0.0,0.0,0.0,128.48499937441036,129.67846893910678,0.4586331632283427
20,2,quadratic,-0.6533238393366111,0.007730708224659458,-2.550472958348124e-06,0.0,0.0,0.0,0.0,0.0,130.0595286253447,129.26986899732088,0.5873434575354762
20,3,cubic,0.2418637127357148,-0.007184355221647985,5.8539741697772396e-05,-6.891584111221295e-08,0.0,0.0,0.0,0.0,105.45106064997572,100.96398611494595,0.9802996984901777
20,4,logistic,0.0,0.0,0.0,0.0,1046.230521794742,0.21536800696142308,0.017756753287433157,0.0,0.0,0.0,0.0
20,5,gompertz,0.0,0.0,0.0,0.0,2.7038012817432255,0.07282606723927346,0.025755832560608243,162.58423407161698,105.87043907350215,101.38336453847239,0.9794552368936978
20,6,baranyi,0.0,0.0,0.0,0.0,14.653209525365916,-0.28396995340299624,0.015078650952669918,51.5490615068802,138.92589539044357,134.4388208554138,0.44734342718482956
20,7,buchanan,0.0,0.0,0.0,0.0,2.544698492589765,0.04658566158430232,0.020218222093699226,133.83547001953644,96.40519792519319,91.91812339016343,0.9920272029557391
21,1,linear,-0.43907121428035817,0.006030374216475848,0.0,0.0,0.0,0.0,0.0,0.0,135.3928774296685,136.5863469943649,0.15849374177192765
21,2,quadratic,-0.49225545273133015,0.00652772229587332,-8.345208770350472e-07,0.0,0.0,0.0,0.0,0.0,138.9104869946341,138.12082736661029,0.22043845796446015
21,3,cubic,0.3905507844541337,-0.008011239367059608,5.796488101375625e-05,-6.546705736663778e-08,0.0,0.0,0.0,0.0,107.43923134462594,102.95215680959618,0.9805481709226113
21,4,logistic,0.0,0.0,0.0,0.0,779.5895326738847,0.2662498804369496,0.0157155122625767,0.0,130.09492504572086,129.30526541769703,0.6683586000513133
21,5,gompertz,0.0,0.0,0.0,0.0,2.8544691403536615,0.14337410826295735,0.022905688295965215,165.86800335354218,122.15302701620553,117.66595248117576,0.9153793271489375
21,6,baranyi,0.0,0.0,0.0,0.0,20.76880256047614,-0.14489385612695074,0.015048684504593858,76.46641684069546,145.63996842801478,141.15289389298502,0.14835917695766065
21,7,buchanan,0.0,0.0,0.0,0.0,2.58325507475594,0.11665239729112643,0.018984380054727804,137.7622036285789,108.24881744958535,103.76174291455558,0.9789333463309031
22,1,linear,-0.5204371361675366,0.0788070971284153,0.0,0.0,0.0,0.0,0.0,0.0,154.37025974049905,155.56372930519547,0.5370352791642254
22,2,quadratic,-0.4140018156763733,0.06790934489040636,0.00020039835063483024,0.0,0.0,0.0,0.0,0.0,159.96135389736028,159.17169426933646,0.47028067157119213
22,3,cubic,0.3755655375700966,-0.08415808122812565,0.007213452669815029,-8.825177795018044e-05,0.0,0.0,0.0,0.0,119.06133551618768,114.57426098115792,0.9950617790152233
